,city,lat,temp,cloudiness,humidity,pressure,wind
0,chokurdakh,70.62,-24.43,64,77,1025.43,7.1
1,bethel,60.79,0.0,1,85,1023.0,7.2
2,chicama,-7.84,25.0,40,78,1009.0,5.1
3,lasa,34.92,10.0,20,81,1019.0,4.1
4,launceston,-41.43,17.0,75,93,1000.0,7.7
5,tessalit,20.2,10.68,0,22,972.58,3.75
6,butaritari,3.07,29.0,92,100,1020.97,9.25
7,atuona,-9.8,27.25,36,100,1022.92,5.85
8,puerto ayora,-0.74,28.0,20,74,1008.0,5.7
9,mataura,-46.19,27.85,20,31,999.49,4.45
10,dicabisagan,17.08,22.93,100,100,1008.33,2.95
11,pisco,-13.71,25.0,75,94,1008.0,8.7
12,natori,38.17,0.0,75,92,1027.0,2.0
13,carnarvon,-30.97,14.73,0,95,873.85,3.55
14,cape town,-33.93,19.0,20,77,1012.0,8.2
15,valparaiso,41.47,-1.7,1,94,1023.0,3.6
16,port alfred,-33.59,20.8,100,100,1017.16,3.2
17,ngaoundere,7.32,15.9,0,50,892.98,2.5
18,kutum,14.2,12.35,8,34,900.43,4.35
19,katsuura,33.93,2.0,90,93,1025.0,2.1
20,bluff,-23.58,30.9,0,56,997.71,4.2
21,hilo,19.71,23.3,90,48,1004.0,6.7
22,torbay,47.66,-9.0,75,66,989.0,22.1
23,kapaa,22.08,21.7,75,58,1005.0,8.7
24,mahebourg,-20.41,25.0,40,78,1012.0,2.8
25,belyy yar,53.6,-32.0,20,74,1032.0,0.65
26,kununurra,-15.77,26.0,75,83,1013.0,0.5
27,tasiilaq,65.61,-7.0,0,41,1008.0,6.2
28,sao filipe,14.9,22.85,68,91,1015.3,4.1
29,rikitea,-23.12,22.25,92,100,1025.92,5.55
30,skibbereen,51.55,6.0,75,81,1016.0,9.3
31,hermanus,-34.42,16.0,64,97,988.47,2.25
32,tezu,27.93,6.5,0,73,886.33,1.05
33,shingu,33.72,6.0,75,81,1023.0,3.6
34,provideniya,64.42,-5.0,90,73,1011.0,9.0
35,punta arenas,-53.16,9.0,20,45,1014.0,5.1
36,okha,53.59,-21.9,56,93,1029.73,5.65
37,barrow,-38.31,18.35,0,59,1007.92,6.35
38,popondetta,-8.77,22.1,100,91,941.21,0.7
39,castro,-42.48,12.0,20,58,1016.0,6.2
40,neryungri,56.66,-26.35,32,62,916.65,5.85
41,plastun,44.76,-14.9,0,49,982.22,1.8
42,langfang,39.51,-9.0,0,47,1033.0,4.0
43,georgetown,6.8,26.0,75,83,1012.0,5.1
44,bathsheba,13.22,26.0,40,69,1015.0,8.2
45,arraial do cabo,-22.97,26.45,0,83,1025.83,9.55
46,vaini,15.34,18.0,0,68,1018.0,1.5
47,ushuaia,-54.81,6.0,40,89,1012.0,11.3
48,karmala,18.41,12.48,8,77,961.23,1.45
49,wadena,51.95,-26.65,32,67,970.96,3.85
50,padang,-0.92,24.0,40,94,1012.0,1.5
51,east london,-33.02,21.45,92,100,1021.13,1.5
52,norman wells,65.28,-15.0,75,84,1020.0,1.0
53,sao felix do xingu,-6.64,25.15,56,94,991.22,0.35
54,sheoganj,25.14,7.08,24,60,989.6,1.3
55,avarua,-21.21,29.0,80,74,1012.0,7.7
56,jumla,29.28,-6.83,80,86,682.46,0.8
57,kawalu,-7.38,20.2,92,98,930.35,0.9
58,yellowknife,62.45,-14.0,75,77,1019.0,3.6
59,mattru,7.62,26.15,0,86,1017.57,2.95
60,ivanovka,42.89,-3.0,44,86,1016.0,1.0
61,dingli,35.86,13.0,0,87,1022.0,5.7
62,beringovskiy,63.05,-11.45,56,100,1016.84,1.85
63,oxbow,49.23,-23.0,20,76,1022.0,5.7
64,kaitangata,-46.28,24.83,12,40,998.44,2.45
65,bambous virieux,-20.34,25.0,40,78,1012.0,2.8
66,nouadhibou,20.93,23.0,32,25,1015.0,3.6
67,marzuq,14.4,5.35,12,91,863.31,1.15
68,grindavik,63.84,-2.0,40,86,1008.0,3.1
69,san patricio,-26.98,28.55,8,66,1007.84,2.1
70,zhigansk,66.77,-28.9,48,59,1029.24,2.1
71,busselton,-33.64,17.68,64,100,1028.19,4.3
72,cidreira,-30.17,22.33,88,96,1011.65,4.35
73,saint-pierre,48.95,4.0,20,93,1013.0,6.2
74,khatanga,71.98,-24.2,56,76,1029.08,5.55
75,ambulu,-8.35,25.33,80,100,1017.08,0.6
76,qaanaaq,77.48,-23.3,0,85,996.57,2.75
77,beyneu,45.32,-8.7,88,73,1036.21,2.95
78,oussouye,12.49,24.0,0,83,1011.0,1.0
79,shimoda,34.7,6.0,75,87,1026.0,8.2
80,victoria,5.28,28.0,75,78,1014.0,1.5
81,airai,-8.93,23.93,36,87,950.04,0.9
82,ribeira grande,38.52,17.15,100,97,1024.54,11.05
83,cayenne,4.94,27.0,90,74,1012.0,4.1
84,jamestown,-33.21,19.58,0,83,963.5,2.6
85,souillac,45.6,6.0,90,81,1023.0,2.1
86,santa isabel do rio negro,-0.41,26.68,20,90,1015.13,0.6
87,dikson,73.51,-22.2,68,96,1028.43,7.75
88,vardo,39.62,3.0,90,60,1030.0,3.6
89,grand gaube,-20.01,25.0,40,78,1012.0,4.65
90,maharajganj,26.11,10.85,64,82,1025.43,1.6
91,alofi,-19.06,30.0,92,74,1007.0,6.2
92,la oroya,-11.52,5.2,68,96,611.78,1.35
93,lisakovsk,52.55,-17.85,48,65,1012.54,1.45
94,shizuishan,39.02,-22.1,0,52,852.77,0.65
95,livingston,32.58,16.7,90,73,1024.0,1.65
96,shenjiamen,29.96,7.1,92,100,1045.94,8.8
97,oranjestad,12.52,26.0,40,78,1013.0,8.2
98,gorom-gorom,14.45,18.33,0,26,995.19,5.55
99,bolgar,54.97,-14.0,90,84,1024.0,3.0
100,bredasdorp,-34.53,21.0,20,88,1014.0,2.6
101,leningradskiy,69.38,-26.8,80,96,1025.59,10.05
102,altay,47.83,-25.33,20,50,818.56,0.7
103,sorong,-0.86,27.2,76,100,1025.27,5.65
104,ouallam,14.32,18.75,0,23,997.54,5.9
105,kumo,10.05,18.68,0,34,988.06,3.3
106,wylie,33.02,7.0,90,96,1020.0,2.6
107,buin,-33.73,24.0,75,33,1013.0,3.1
108,canala,-21.52,32.0,0,38,1002.0,1.5
109,tuktoyaktuk,69.44,-14.0,75,77,1016.0,6.7
110,abha,18.22,14.0,0,67,1022.0,3.6
111,presidencia roque saenz pena,-26.79,28.23,48,80,1005.41,2.1
112,joshimath,30.57,-14.58,76,97,599.86,0.3
113,severo-kurilsk,50.68,-6.3,48,100,1009.06,4.9
114,saldanha,41.42,1.35,0,87,963.74,1.95
115,jieshou,33.26,-5.8,76,76,1043.02,2.35
116,waipawa,-39.94,22.1,24,63,988.95,2.85
117,san carlos de bariloche,-41.13,9.0,40,39,1012.0,4.1
118,kruisfontein,-34.0,18.6,92,95,1017.49,2.4
119,rio grande,-32.03,22.1,88,100,1017.81,4.0
120,bayangol,48.91,-35.9,0,52,928.56,1.3
121,lompoc,34.64,12.2,20,58,1018.0,6.7
122,hobart,-42.88,25.0,20,44,995.0,6.2
123,vila franca do campo,37.72,17.0,20,88,1020.0,6.2
124,port elizabeth,39.31,1.7,90,49,1032.0,1.25
125,college,64.86,-5.6,1,70,1016.0,1.55
126,dormidontovka,47.77,-24.28,0,58,1030.13,3.55
127,treinta y tres,-33.23,24.8,44,82,998.92,3.65
128,goderich,43.74,-6.33,88,85,1011.41,2.1
129,ajaigarh,24.9,8.35,0,78,1013.51,1.3
130,albany,42.65,-2.8,90,52,1031.0,2.1
131,ponta delgada,37.73,17.0,20,88,1020.0,6.2
132,chara,39.42,4.0,20,100,1017.0,1.85
133,kulhudhuffushi,6.62,27.83,24,100,1025.27,4.7
134,saskylakh,71.97,-24.9,56,60,1018.05,6.35
135,chapais,49.78,-19.0,90,70,1024.0,4.1
136,klaksvik,62.23,0.0,48,100,1014.0,7.2
137,itarema,-2.92,26.68,44,85,1019.59,4.65
138,ancud,-41.87,12.0,0,58,1016.0,6.2
139,los llanos de aridane,28.66,17.0,0,55,1022.0,4.6
140,labuhan,-2.54,24.6,56,91,1002.0,0.85
141,port hedland,-20.31,31.0,0,74,1011.0,4.6
142,cherskiy,68.75,-31.05,32,71,1025.19,2.75
143,santa clarita,34.39,14.4,75,87,1016.0,4.0
144,esperance,10.24,26.0,40,74,1013.0,3.1
145,kodiak,39.95,1.1,90,100,1019.0,2.1
146,thinadhoo,0.53,28.35,92,100,1024.13,4.75
147,makinsk,52.63,-16.28,88,83,986.93,3.0
148,vostok,46.45,-21.95,0,59,968.85,0.95
149,san pablo,14.07,27.0,20,69,1019.0,4.1
150,yenagoa,4.92,21.3,8,73,1005.65,1.3
151,xai-xai,-25.04,25.3,68,94,1020.89,6.9
152,new norfolk,-42.78,25.0,20,44,995.0,6.2
153,komsomolskiy,67.55,-11.78,88,77,999.08,5.65
154,amapa,15.09,26.0,20,69,1014.0,6.2
155,moron,10.49,20.9,0,76,952.31,2.25
156,leshukonskoye,64.9,-1.4,88,79,1007.19,4.2
157,jalalabad,34.43,-0.33,88,90,837.45,1.2
158,cabo san lucas,22.89,26.0,20,68,1015.0,6.2
159,kroya,-6.5,24.15,76,97,1002.49,1.4
160,taoudenni,22.68,10.95,8,27,1000.62,2.8
161,basoko,1.23,24.08,92,90,972.09,1.3
162,babu,23.23,12.15,76,90,886.01,1.15
163,ornskoldsvik,63.29,-2.0,8,92,988.0,3.1
164,comodoro rivadavia,-45.87,16.0,40,51,1012.0,3.6
165,nikolskoye,59.7,2.0,90,94,1001.0,4.0
166,longkou,37.64,-5.15,0,100,1042.61,4.15
167,arlit,18.74,11.18,0,42,978.33,2.5
168,oktyabrskiy,55.61,-4.0,90,92,1014.0,2.0
169,vuktyl,63.86,-3.55,80,88,999.25,3.45
170,matara,-13.74,7.95,56,97,669.9,0.45
171,clarence town,-32.59,26.0,0,54,1006.0,3.6
172,paratinga,-12.69,24.95,36,73,964.47,1.95
173,tikhvin,59.64,1.18,80,92,1005.0,3.6
174,isangel,-19.55,26.95,0,100,1014.57,5.9
175,dzaoudzi,-12.79,26.0,0,88,1011.0,2.1
176,namibe,-15.19,24.1,48,100,1020.0,3.0
177,frankenberg,49.04,3.0,75,86,1007.0,3.1
178,alice springs,-23.7,30.0,0,17,1014.0,2.6
179,kunashak,55.7,-14.0,32,84,1022.0,4.0
180,thompson,55.74,-20.0,5,70,1028.0,1.5
181,savannah bight,16.45,23.05,36,100,1028.19,0.85
182,arman,59.7,-23.25,32,50,978.17,1.35
183,kharitonovo,61.4,-6.0,68,87,1009.38,4.65
184,mar del plata,-46.43,14.15,68,55,1003.87,8.4
185,omboue,-1.57,27.05,88,100,1022.92,0.95
186,bol,13.47,19.2,0,24,993.9,6.6
187,port hardy,50.7,1.0,20,47,1004.0,4.1
188,gillette,44.29,-10.6,1,76,1004.0,15.4
189,novoagansk,61.94,-21.33,80,74,1028.83,1.4
190,lovozero,68.01,-11.0,92,64,963.5,1.35
191,road town,18.42,25.0,40,78,1018.0,5.1
192,lebu,8.96,15.0,20,54,1025.0,3.1
193,hithadhoo,-0.6,28.95,92,100,1023.81,3.25
194,roald,62.58,3.0,88,55,999.0,7.2
195,codrington,-28.95,29.0,75,48,1008.0,2.1
196,harbour breton,47.48,-6.35,48,100,1010.11,18.25
197,guerrero negro,27.97,16.4,0,62,1018.46,6.25
198,soyo,-6.13,26.23,36,89,1016.59,1.2
199,bandundu,-3.32,23.1,56,98,984.9,2.85
200,cabrobo,-8.51,29.98,88,44,979.23,4.65
201,saltabarranca,18.59,21.6,0,91,1015.3,2.2
202,kahului,20.89,22.2,75,73,1003.0,8.2
203,hengshui,37.73,-9.75,0,80,1042.53,1.95
204,geraldton,49.72,-20.0,20,70,1029.0,1.5
205,jizan,16.89,25.0,20,69,1012.0,0.75
206,chuy,-33.69,25.9,36,79,1016.03,3.75
207,viedma,-40.81,16.75,80,49,1018.46,6.9
208,bang bo,13.57,28.0,20,88,1015.0,2.1
209,gulmarg,34.05,-5.53,68,95,798.95,0.45
210,farafangana,-22.82,25.55,76,99,1026.08,3.0
211,ponta do sol,-20.63,20.98,32,91,926.54,1.15
212,venray,51.53,5.0,75,93,1006.0,4.1
213,thai binh,20.45,22.0,75,88,1021.0,3.1
214,eureka,40.8,7.8,90,100,1019.0,2.1
215,lazaro cardenas,28.39,18.0,40,34,1016.0,10.8
216,ixtapa,20.71,27.0,5,78,1012.0,5.7
217,biltine,14.53,19.15,0,23,956.37,6.9
218,tura,25.52,8.33,8,77,1021.13,1.7
219,ilulissat,69.22,-14.0,20,50,1000.0,3.1
220,turangi,-39.0,22.3,0,66,935.78,1.6
221,faisalabad,31.42,8.7,0,87,1013.27,1.25
222,velikovechnoye,44.94,3.0,75,93,1021.0,1.0
223,avera,33.19,9.4,90,59,1029.0,3.6
224,elko,40.83,-3.9,1,59,1007.0,4.1
225,bonthe,7.53,26.45,12,93,1022.35,2.25
226,xam nua,20.42,15.25,92,100,906.35,0.95
227,san rafael,-34.61,26.3,0,15,916.4,9.0
228,stratford,43.37,-5.0,90,67,1027.0,4.6
229,itamaraju,-17.04,25.65,0,71,1011.73,4.55
230,trinidad,-33.52,26.05,32,74,1002.73,3.15
231,inirida,3.87,26.55,0,81,1002.73,0.9
232,amargosa,-13.03,22.65,24,84,981.74,3.9
233,sungaipenuh,-2.08,19.25,76,97,906.11,0.15
234,pen,18.74,22.0,0,43,1013.0,1.2
235,ostrovnoy,68.05,-2.28,0,88,977.93,7.15
236,narsaq,60.91,1.0,0,50,980.0,19.0
237,harper,30.3,13.9,90,91,1018.0,2.05
238,pochutla,15.74,29.0,75,58,1012.0,3.6
239,longyearbyen,78.22,-10.0,40,66,1000.0,5.1
240,hami,42.84,-6.55,88,81,951.83,0.85
241,oksfjord,70.24,-5.0,75,73,984.0,6.2
242,vanimo,-2.67,25.45,80,100,1027.7,6.45
243,lagoa,37.14,12.0,0,93,1028.0,3.6
244,upernavik,72.79,-15.83,0,100,1018.46,8.4
245,mount isa,-20.73,32.0,0,19,1012.0,5.1
246,kyshtovka,56.56,-24.85,56,60,1024.29,1.45
247,chone,-0.7,23.58,92,97,1000.87,1.6
248,vagur,61.47,4.05,0,100,1025.27,8.7
249,noumea,-22.28,32.0,0,38,1002.0,1.5
250,gamba,28.28,-28.6,12,31,559.33,1.0
251,hasaki,35.73,0.0,75,100,1028.0,3.6
252,keflavik,64.0,-2.0,40,86,1008.0,3.1
253,rabaul,-4.2,26.23,68,100,1010.51,4.4
254,rio gallegos,-51.62,10.0,20,39,1013.0,7.7
255,san cristobal,-0.39,15.0,75,87,1023.0,3.1
256,port macquarie,-31.43,28.0,0,48,1006.0,3.6
257,lexington,38.05,4.0,90,93,1025.0,1.5
258,lakatoro,-16.11,28.5,80,94,1005.57,3.45
259,saint george,39.45,4.0,20,100,1017.0,1.85
260,san isidro,16.74,21.15,44,90,1015.78,0.85
261,bitung,1.44,30.0,20,70,1016.0,2.6
262,tuatapere,-46.13,22.68,32,56,989.36,3.3
263,hebi,35.75,-13.25,8,65,992.84,1.1
